index,ORIGIN,group,color,size,name
0,ATL,1,#FF7F00,568,ATL
17,MCO,1,#FF7F00,343,MCO
13,JFK,1,#FF7F00,255,JFK
10,FLL,1,#FF7F00,248,FLL
3,CLT,1,#FF7F00,236,CLT
1,BOS,1,#FF7F00,212,BOS
2,BWI,1,#FF7F00,196,BWI
19,MIA,1,#FF7F00,196,MIA
9,EWR,1,#FF7F00,191,EWR
16,LGA,1,#FF7F00,168,LGA
30,TPA,1,#FF7F00,165,TPA
8,DTW,1,#FF7F00,156,DTW
24,PHL,1,#FF7F00,149,PHL
5,DCA,1,#FF7F00,124,DCA
7,DFW,2,#377EB8,333,DFW
21,ORD,2,#377EB8,308,ORD
18,MDW,2,#377EB8,176,MDW
20,MSP,2,#377EB8,170,MSP
12,IAH,2,#377EB8,166,IAH
4,DAL,2,#377EB8,135,DAL
6,DEN,3,#F781BF,375,DEN
29,SLC,3,#F781BF,136,SLC
15,LAX,4,#A0522D,413,LAX
25,PHX,4,#A0522D,359,PHX
14,LAS,4,#A0522D,345,LAS
28,SFO,4,#A0522D,272,SFO
27,SEA,4,#A0522D,264,SEA
26,SAN,4,#A0522D,167,SAN
23,PDX,4,#A0522D,119,PDX
11,HNL,5,#984EA3,130,HNL
22,OTHER,6,#4DAF4A,2703,OTHER
